model,mean_score,p90_score,mean_abs_bias,std_score
DynamicOptimizedTheta,66.889,153.418,22.059,70.852
SimpleExponentialSmoothingOptimized,67.313,149.124,22.382,71.078
chronos2,67.655,142.096,23.892,68.778
Theta,67.681,157.111,22.537,71.914
DynamicTheta,67.686,159.28,22.53,71.53
CrostonOptimized,67.883,151.534,22.551,74.882
CrostonClassic,68.357,154.961,23.083,74.546
OptimizedTheta,68.591,149.674,23.153,70.672
CrostonSBA,70.989,158.043,25.13,78.584
SeasonalExponentialSmoothingOptimized,71.397,160.359,23.951,74.424
HoltWinters,71.839,159.781,26.112,73.992
WindowAverage,73.384,156.357,26.025,80.29
Holt,74.045,165.701,26.313,77.108
SeasonalNaive,76.74,177.143,24.564,75.402
lightgbm,83.91,192.736,30.004,97.154
HistoricAverage,84.073,175.589,33.038,98.4
Naive,88.83,196.543,36.187,88.417
RandomWalkWithDrift,92.741,193.863,38.545,94.034
