model,mean_score,p90_score,mean_abs_bias,std_score,sku_wins,win_share
DynamicOptimizedTheta,66.889,153.418,22.059,70.852,5,0.017
SimpleExponentialSmoothingOptimized,67.313,149.124,22.382,71.078,11,0.037
chronos2,67.655,142.096,23.892,68.778,23,0.077
Theta,67.681,157.111,22.537,71.914,8,0.027
DynamicTheta,67.686,159.28,22.53,71.53,3,0.01
CrostonOptimized,67.883,151.534,22.551,74.882,3,0.01
CrostonClassic,68.357,154.961,23.083,74.546,15,0.051
OptimizedTheta,68.591,149.674,23.153,70.672,12,0.04
CrostonSBA,70.989,158.043,25.13,78.584,17,0.057
SeasonalExponentialSmoothingOptimized,71.397,160.359,23.951,74.424,20,0.067
HoltWinters,71.839,159.781,26.112,73.992,30,0.101
WindowAverage,73.384,156.357,26.025,80.29,41,0.138
Holt,74.045,165.701,26.313,77.108,24,0.081
SeasonalNaive,76.74,177.143,24.564,75.402,5,0.017
lightgbm,83.91,192.736,30.004,97.154,16,0.054
HistoricAverage,84.073,175.589,33.038,98.4,31,0.104
Naive,88.83,196.543,36.187,88.417,19,0.064
RandomWalkWithDrift,92.741,193.863,38.545,94.034,14,0.047
