model,score
DynamicOptimizedTheta,66.88939869784375
SimpleExponentialSmoothingOptimized,67.3129073682663
chronos2,67.65465826848312
Theta,67.68086751999303
DynamicTheta,67.6855328161418
CrostonOptimized,67.88342278631056
CrostonClassic,68.3568407404228
OptimizedTheta,68.59058296080063
CrostonSBA,70.98925614766407
SeasonalExponentialSmoothingOptimized,71.39687050348432
HoltWinters,71.83911579989166
WindowAverage,73.38443963443964
Holt,74.04482645712783
SeasonalNaive,76.74025974025975
lightgbm,83.91043096968025
HistoricAverage,84.07320067846383
Naive,88.82972582972583
RandomWalkWithDrift,92.74065736732403
